"","c_c_cx","f_fr_cx_x","c_c_cx_us","f_mn_cx_xs","f_sd_cx_xs","c_c_dx","f_fr_dx_x","f_sd_dx_xs","c_c_dx_b0","f_fr_dx_tb_b0","f_mn_xs_dx_b0","f_sd_xs_dx_b0","f_mn_tg_dx_b0","f_sd_tg_dx_b0","c_c_dx_b1","f_fr_dx_tb_b1","f_mn_xs_dx_b1","f_sd_xs_dx_b1","f_mn_tg_dx_b1","f_sd_tg_dx_b1"
"868",79,0.263333333333333,2,56.1518987341772,1.34153329615107,221,0.736666666666667,659.024766236795,121,0.547511312217195,292.247933884298,5.96932281841242,1.01720400651296,0.564576234186495,100,0.452488687782805,1544.78,13.4366814723266,1.0301841172305,0.558161397931754
"869",69,0.23,2,56.3478260869565,2.01318902657221,231,0.77,661.919945437249,127,0.54978354978355,285.59842519685,40.0358743330964,1.05525123694586,0.601213862181552,104,0.45021645021645,1549.11538461538,11.0519429300016,1.06624313234126,0.58884843049115
"870",71,0.236666666666667,1,56,0,229,0.763333333333333,660.654555798136,128,0.558951965065502,290.8671875,9.23938535379449,1.04732541399678,0.574731482905927,101,0.441048034934498,1552.92079207921,8.82205812742322,1.03055864810944,0.586551470008269
"871",73,0.243333333333333,1,56,0,227,0.756666666666667,657.954004962711,119,0.524229074889868,293.672268907563,5.72316348640586,1.04728408385131,0.588466670521929,108,0.475770925110132,1541.09259259259,16.1730111206273,1.08267011375071,0.61288602662632
"872",77,0.256666666666667,1,56,0,223,0.743333333333333,656.543914296513,122,0.547085201793722,300.114754098361,276.532465394553,1.03106912108492,0.590398967695415,101,0.452914798206278,1545.25742574257,13.1949152779691,1.0349370598793,0.594818573572694
"873",67,0.223333333333333,1,56,0,233,0.776666666666667,661.744727965091,120,0.515021459227468,274.758333333333,8.58686192953718,1.06891237387136,0.598275316024434,113,0.484978540772532,1532.70796460177,20.4255301113429,1.07185169202941,0.618056630154535
"874",70,0.233333333333333,1,56,0,230,0.766666666666667,658.529893636465,124,0.539130434782609,289.5,7.10305496462674,1.03902633791047,0.600871522659312,106,0.460869565217391,1540.33018867925,18.6487694471671,1.05650786218189,0.603555259548614
"875",72,0.24,1,56,0,228,0.76,660.674780209354,123,0.539473684210526,287.081300813008,8.33219094099934,1.023983804906,0.593753053539992,105,0.460526315789474,1544.52380952381,14.4633810604128,1.07233911064955,0.617093359217105
"876",74,0.246666666666667,1,56,0,226,0.753333333333333,659.411701796479,121,0.535398230088496,290.652892561983,57.6054899181912,1.03280622760455,0.606307969147543,105,0.464601769911504,1542.44761904762,13.1569297366626,1.01852186597311,0.595277145983868
"877",69,0.23,1,56,0,231,0.77,657.482492723458,126,0.545454545454545,297.301587301587,3.87301170959964,1.02734190368652,0.592964847585813,105,0.454545454545455,1546.31428571429,17.243465570716,0.980746773573068,0.594182960848673
"878",82,0.273333333333333,1,56,0,218,0.726666666666667,654.281979050002,115,0.527522935779816,305.182608695652,2.10431443726513,0.950803010087264,0.586730967857431,103,0.472477064220183,1540.68932038835,19.4704859498845,0.9859299028621,0.591601315456294
"879",117,0.39,2,56.1025641025641,1.10464919120708,183,0.61,662.893597214414,100,0.546448087431694,282.27,45.5010770102303,0.783973106230148,0.482234494503268,83,0.453551912568306,1548.27710843373,91.5646725896096,0.86667874092009,0.48197959839058
"880",94,0.313333333333333,2,56.1276595744681,1.23110435246719,206,0.686666666666667,657.373096764322,118,0.572815533980582,293.677966101695,18.6451345618192,0.866144127315945,0.516253801560194,88,0.427184466019417,1551.5,15.9734154143689,0.863495755469662,0.501923179877475
"881",104,0.346666666666667,1,56,0,196,0.653333333333333,649.016669137236,107,0.545918367346939,317.504672897196,70.9080556111786,0.965384213429577,0.529155836770236,89,0.454081632653061,1539.80898876404,28.5022673667345,1.00242943655361,0.524860344715881
"882",91,0.303333333333333,2,56.2637362637363,1.75934031614853,209,0.696666666666667,654.560525197945,109,0.521531100478469,266.522935779817,10.8231105508636,0.96318714927744,0.529600381720067,100,0.478468899521531,1505.22,74.550220321606,0.926092222483471,0.52835569942505
"883",94,0.313333333333333,2,56.2553191489362,1.73165871909581,206,0.686666666666667,603.377843528794,123,0.597087378640777,434.666666666667,27.9224260657027,0.20213180096423,0.141910295128251,83,0.402912621359223,1556.73493975904,12.8351512624938,0.225435536082198,0.150727395193539
"884",89,0.296666666666667,2,56.4044943820225,2.16571394214054,211,0.703333333333333,619.723771256632,133,0.630331753554502,396.270676691729,6.55147148034771,0.217378121433836,0.145090288438918,78,0.369668246445498,1570.71794871795,8.43534745274643,0.232018981661115,0.132869975060985
"885",93,0.31,2,56.1290322580645,1.23763394150006,207,0.69,585.610680345823,115,0.555555555555556,485.417391304348,21.8737643649307,0.264961472728796,0.153799171927671,92,0.444444444444444,1564.25,11.7683608961409,0.259346734036456,0.156302066712901
